Graph	Algorithm	Seed	Solution	Time
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-24	8	188	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-24	9	191	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-2	1	174	0
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-2	10	176	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-2	2	176	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-2	3	174	0
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-2	4	181	0
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-2	5	174	0
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-2	6	176	0
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-2	7	175	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-2	8	178	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-2	9	180	0
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-32	1	187	2
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-32	10	186	2
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-32	2	188	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-32	3	188	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-32	4	189	3
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-32	5	189	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-32	6	184	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-32	7	181	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-32	8	190	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-32	9	190	3
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-3	1	173	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-3	10	175	0
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-3	2	172	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-3	3	175	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-3	4	174	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-3	5	175	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-3	6	169	0
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-3	7	174	0
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-3	8	175	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-3	9	172	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-48	1	185	2
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-48	10	180	5
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-48	2	188	4
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-48	3	192	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-48	4	187	2
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-48	5	190	1
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-48	6	188	5
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-48	7	184	3
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-48	8	184	5
erdos_renyi_n_100_c_7_seed_10.edges	SimFASDC-48	9	188	5
