Graph	Algorithm	RandomSeed	Solution	Time
Amazon0312	SimFASDC-8	5	2127844	6688
Amazon0312	SimFASDC-8	6	2127827	6762
Amazon0312	SimFASDC-8	7	2125749	6801
Amazon0312	SimFASDC-8	8	2127471	6722
Amazon0312	SimFASDC-8	9	2127697	6707
Amazon0312	FASDC-12	1	2126682	11036
Amazon0312	FASDC-12	10	2125276	12314
Amazon0312	FASDC-12	2	2128370	11541
Amazon0312	FASDC-12	3	2126722	11802
Amazon0312	FASDC-12	4	2124820	12182
Amazon0312	FASDC-12	5	2126966	12229
Amazon0312	FASDC-12	6	2125880	12565
Amazon0312	FASDC-12	7	2123796	12681
Amazon0312	FASDC-12	8	2126366	11681
Amazon0312	FASDC-12	9	2125957	12131
Amazon0312	FASDC-16	1	2127397	14029
Amazon0312	FASDC-16	10	2126319	14373
Amazon0312	FASDC-16	2	2128950	14816
Amazon0312	FASDC-16	3	2127644	14464
Amazon0312	FASDC-16	4	2125474	13658
Amazon0312	FASDC-16	5	2127550	13420
Amazon0312	FASDC-16	6	2127043	14212
Amazon0312	FASDC-16	7	2125018	15059
Amazon0312	FASDC-16	8	2127415	14658
Amazon0312	FASDC-16	9	2127112	14643
Amazon0312	FASDC-24	1	2128045	18053
Amazon0312	FASDC-24	10	2127294	16978
Amazon0312	FASDC-24	2	2129744	18801
Amazon0312	FASDC-24	3	2128335	18817
Amazon0312	FASDC-24	4	2126426	18411
Amazon0312	FASDC-24	5	2128129	19017
Amazon0312	FASDC-24	6	2128270	19165
Amazon0312	FASDC-24	7	2125340	16739
Amazon0312	FASDC-24	8	2128031	16769
Amazon0312	FASDC-24	9	2127567	19162
Amazon0312	FASDC-2	1	2119315	6814
Amazon0312	FASDC-2	10	2118555	6894
Amazon0312	FASDC-2	2	2120844	7131
Amazon0312	FASDC-2	3	2120618	6213
Amazon0312	FASDC-2	4	2118516	6499
Amazon0312	FASDC-2	5	2119965	6768
Amazon0312	FASDC-2	6	2119710	6850
Amazon0312	FASDC-2	7	2117215	6974
Amazon0312	FASDC-2	8	2118618	6723
Amazon0312	FASDC-2	9	2119266	7023
Amazon0312	FASDC-32	1	2128004	20652
Amazon0312	FASDC-32	10	2127401	22681
Amazon0312	FASDC-32	2	2129731	22991
Amazon0312	FASDC-32	3	2128607	23342
Amazon0312	FASDC-32	4	2126561	23033
Amazon0312	FASDC-32	5	2128389	21339
Amazon0312	FASDC-32	6	2128154	22167
Amazon0312	FASDC-32	7	2125771	23364
Amazon0312	FASDC-32	8	2128662	23511
Amazon0312	FASDC-32	9	2127683	21572
Amazon0312	FASDC-3	1	2121748	6907
Amazon0312	FASDC-3	10	2120613	6577
Amazon0312	FASDC-3	2	2123902	6979
Amazon0312	FASDC-3	3	2123116	6865
Amazon0312	FASDC-3	4	2116744	7076
Amazon0312	FASDC-3	5	2118823	7073
Amazon0312	FASDC-3	6	2122226	6350
Amazon0312	FASDC-3	7	2116214	6865
Amazon0312	FASDC-3	8	2120110	6672
Amazon0312	FASDC-3	9	2121516	7253
Amazon0312	FASDC-48	1	2128512	30031
Amazon0312	FASDC-48	10	2127404	29729
Amazon0312	FASDC-48	2	2130167	28079
Amazon0312	FASDC-48	3	2128841	27752
Amazon0312	FASDC-48	4	2126907	30769
Amazon0312	FASDC-48	5	2128451	30764
Amazon0312	FASDC-48	6	2129206	30276
Amazon0312	FASDC-48	7	2126204	30835
Amazon0312	FASDC-48	8	2128699	28090
Amazon0312	FASDC-48	9	2128408	28002
Amazon0312	FASDC-4	1	2118149	7679
Amazon0312	FASDC-4	10	2117651	9371
Amazon0312	FASDC-4	2	2120483	8290
Amazon0312	FASDC-4	3	2118958	7396
Amazon0312	FASDC-4	4	2117473	7898
Amazon0312	FASDC-4	5	2119429	7558
Amazon0312	FASDC-4	6	2119153	6883
Amazon0312	FASDC-4	7	2116779	7889
Amazon0312	FASDC-4	8	2117856	7647
Amazon0312	FASDC-4	9	2118397	8159
Amazon0312	FASDC-6	1	2122389	9205
Amazon0312	FASDC-6	10	2121000	8219
Amazon0312	FASDC-6	2	2124143	8849
Amazon0312	FASDC-6	3	2122919	8788
Amazon0312	FASDC-6	4	2120669	9027
Amazon0312	FASDC-6	5	2122457	8712
Amazon0312	FASDC-6	6	2122182	8978
Amazon0312	FASDC-6	7	2119714	8671
