Graph	Algorithm	RandomSeed	Solution	Time
Amazon0312	SimFASDC-6	1	850707	2998
Amazon0312	SimFASDC-6	10	850707	3005
Amazon0312	SimFASDC-6	2	850706	2994
Amazon0312	SimFASDC-6	3	850706	2932
Amazon0312	SimFASDC-6	4	850707	3014
Amazon0312	SimFASDC-6	5	850707	2942
Amazon0312	SimFASDC-6	6	850706	2468
Amazon0312	SimFASDC-6	7	850706	2982
Amazon0312	SimFASDC-6	8	850706	3008
Amazon0312	SimFASDC-6	9	850706	2957
Amazon0312	SimFASDC-8	1	850707	3101
Amazon0312	SimFASDC-8	10	850707	3111
Amazon0312	SimFASDC-8	2	850706	2969
Amazon0312	SimFASDC-8	3	850706	2929
Amazon0312	SimFASDC-8	4	850707	3005
Amazon0312	SimFASDC-8	5	850707	2977
Amazon0312	SimFASDC-8	6	850706	3012
Amazon0312	SimFASDC-8	7	850706	2989
Amazon0312	SimFASDC-8	8	850706	2981
Amazon0312	SimFASDC-8	9	850706	2996
Amazon0312	FASDC-12	1	850706	3162
Amazon0312	FASDC-12	10	850706	2957
Amazon0312	FASDC-12	2	850706	3257
Amazon0312	FASDC-12	3	850706	2992
Amazon0312	FASDC-12	4	850706	3158
Amazon0312	FASDC-12	5	850706	3414
Amazon0312	FASDC-12	6	850706	3156
Amazon0312	FASDC-12	7	850706	2912
Amazon0312	FASDC-12	8	850706	3139
Amazon0312	FASDC-12	9	850706	3123
Amazon0312	FASDC-16	1	850706	3185
Amazon0312	FASDC-16	10	850706	2953
Amazon0312	FASDC-16	2	850706	3356
Amazon0312	FASDC-16	3	850706	3107
Amazon0312	FASDC-16	4	850706	3402
Amazon0312	FASDC-16	5	850706	3149
Amazon0312	FASDC-16	6	850706	2957
Amazon0312	FASDC-16	7	850706	3170
Amazon0312	FASDC-16	8	850706	3156
Amazon0312	FASDC-16	9	850706	3017
Amazon0312	FASDC-24	1	850706	3089
Amazon0312	FASDC-24	10	850706	3127
Amazon0312	FASDC-24	2	850706	3059
Amazon0312	FASDC-24	3	850706	2914
Amazon0312	FASDC-24	4	850706	3132
